location_id,name,distance,bearing,address_obj.street1,address_obj.street2,address_obj.city,address_obj.country,address_obj.address_string,address_obj.postalcode
19114410,Victoria - Food & Tea,0.06016934782851413,west,Rua Simoes de Castro 146 Coimbra,,Coimbra,Portugal,"Rua Simoes de Castro 146 Coimbra, Coimbra Portugal",
16669123,Mercearia dos Salgados,0.06634628586076187,west,Rua Simoes de Castro 169,,Coimbra,Portugal,"Rua Simoes de Castro 169, Coimbra 3000-388 Portugal",3000-388
15070087,Os Manos,0.05693049213983155,west,R. Simoes de Castro,,Coimbra,Portugal,"R. Simoes de Castro, Coimbra 3000-172 Portugal",3000-172
10338134,Cafetaria Belo Horizonte,0.008100101575693993,northeast,Rua do Carmo,,Coimbra,Portugal,"Rua do Carmo, Coimbra 3000-098 Portugal",3000-098
3193363,Petisqueira CB,0.04237529308777988,east,Terreiro da Erva 19 20,"Rua do Carmo, 17-19",Coimbra,Portugal,"Terreiro da Erva 19 20 Rua do Carmo, 17-19, Coimbra 3000-153 Portugal",3000-153
7784876,Restaurante Salsaflor,0.017968151256513853,northeast,Rua do Carmo 54,Terreiro Da Erva,Coimbra,Portugal,"Rua do Carmo 54 Terreiro Da Erva, Coimbra 3000-098 Portugal",3000-098
23775664,"Frango & Cia, Molho A Guia",0.0435055702008611,northeast,Terreiro da Erva 20,,Coimbra,Portugal,"Terreiro da Erva 20, Coimbra 3000-153 Portugal",3000-153
15697611,O Recanto,0.021782887692177552,northeast,Rua do Carmo,Nº 54,Coimbra,Portugal,"Rua do Carmo Nº 54, Coimbra 3000-098 Portugal",3000-098
17593236,Churrasqueira da Baixa,0.05076021723624039,northwest,R. Simoes de Castro,,Coimbra,Portugal,"R. Simoes de Castro, Coimbra 3000-001 Portugal",3000-001
1065785,Cantinho dos Reis,0.05004353482298359,northeast,Terreiro da Erva 16 7,,Coimbra,Portugal,"Terreiro da Erva 16 7, Coimbra 3000-153 Portugal",3000-153
13944892,Refeitro da Baixa,0.04953486772888438,east,Largo Quintal do Prior n0 2 a 4,Terreiro da Erva,Coimbra,Portugal,"Largo Quintal do Prior n0 2 a 4 Terreiro da Erva, Coimbra 3000-339 Portugal",3000-339
13564978,UATA?! Coimbra,0.06537635476703413,northeast,Beco do Fanado 5,,Coimbra,Portugal,"Beco do Fanado 5, Coimbra 3000-166 Portugal",3000-166
1074234,Cova Funda - O Espanhol,0.07154404201003628,northeast,Rua da Sofia 117,,Coimbra,Portugal,"Rua da Sofia 117, Coimbra 3000-390 Portugal",3000-390
5959810,Restaurante Chines Hao Sheng,0.06368142798657701,west,Rua Engenheiro Von Haff 40,,Aveiro,Portugal,"Rua Engenheiro Von Haff 40, Aveiro 3800-176 Portugal",3800-176
