postal_code,cod_distrito,cod_concelho,cod_localidade,nome_localidade,num_cod_postal,ext_cod_postal,desig_postal,nome_concelho,nome_distrito,LatLong
4715-165,3,3,59121,Outeiro,4715,165,BRAGA,Braga,Braga,41.53072640271685%2C-8.401392457084604
4715-165,3,3,9514,Braga,4715,165,BRAGA,Braga,Braga,41.53072640271685%2C-8.401392457084604
4700-214,3,3,9514,Braga,4700,214,BRAGA,Braga,Braga,41.54348034210646%2C-8.432518522146268
4705-138,3,3,9514,Braga,4705,138,BRAGA,Braga,Braga,41.535058760300664%2C-8.455325817040222
4705-135,3,3,9514,Braga,4705,135,BRAGA,Braga,Braga,41.53698309263346%2C-8.453682518022884
4705-136,3,3,9514,Braga,4705,136,BRAGA,Braga,Braga,41.535579209938646%2C-8.455040463978202
4705-139,3,3,9514,Braga,4705,139,BRAGA,Braga,Braga,41.53678173481918%2C-8.45453354430558
4705-140,3,3,9514,Braga,4705,140,BRAGA,Braga,Braga,41.53645866125039%2C-8.453219906503456
4705-141,3,3,9514,Braga,4705,141,BRAGA,Braga,Braga,41.53535455191539%2C-8.456490507700067
4700-421,3,3,9514,Braga,4700,421,BRAGA,Braga,Braga,41.55014429859012%2C-8.429362369445093
4705-142,3,3,9514,Braga,4705,142,BRAGA,Braga,Braga,41.537413860013885%2C-8.455795746397646
4705-143,3,3,9514,Braga,4705,143,BRAGA,Braga,Braga,41.53624199888884%2C-8.456285223543341
4705-144,3,3,9514,Braga,4705,144,BRAGA,Braga,Braga,41.53639236995673%2C-8.457641581279294
4705-145,3,3,9514,Braga,4705,145,BRAGA,Braga,Braga,41.543476322366075%2C-8.460494283137503
4705-147,3,3,9514,Braga,4705,147,BRAGA,Braga,Braga,41.54203780093%2C-8.459130391960688
4705-149,3,3,9514,Braga,4705,149,BRAGA,Braga,Braga,41.54096557941275%2C-8.457492763223248
4700-215,3,3,9514,Braga,4700,215,BRAGA,Braga,Braga,41.54245892729155%2C-8.43239649311675
4705-150,3,3,9514,Braga,4705,150,BRAGA,Braga,Braga,41.54588409513394%2C-8.447342741141844
4705-151,3,3,9514,Braga,4705,151,BRAGA,Braga,Braga,41.549180247407946%2C-8.449873403332411
4705-153,3,3,9514,Braga,4705,153,BRAGA,Braga,Braga,41.54993721431831%2C-8.450101984401948
4705-152,3,3,9514,Braga,4705,152,BRAGA,Braga,Braga,41.54897932748564%2C-8.447044153624462
4705-802,3,3,9514,Braga,4705,802,BRAGA,Braga,Braga,41.53421895140056%2C-8.452057176079565
4710-048,3,3,9514,Braga,4710,048,BRAGA,Braga,Braga,41.56632856150149%2C-8.383373687922138
4700-261,3,3,9514,Braga,4700,261,BRAGA,Braga,Braga,41.555749151413984%2C-8.439660695854958
4700-216,3,3,9514,Braga,4700,216,BRAGA,Braga,Braga,41.55162562964004%2C-8.436189216166845
